t,f(t)
2104,1.4236816714132016860405709099608449519666461868561E-10
2108,1.4438716885283411615193629254322622604869152233932E-10
2112,1.4642701002478601242913813974435151879582949667123E-10
2116,1.4848781138344193958513562422603921596337570685587E-10
2120,1.5056969353865102303106914968714721803680399445550E-10
2124,1.5267277697907446798400993294143273877305711082727E-10
2128,1.5479718206744960945412264459966806094186758079518E-10
2132,1.5694302903588918134077151345702079105284814453015E-10
2136,1.5911043798121600226719429845674948896214708471230E-10
2140,1.6129952886033326783693059930156499081091274283925E-10
2144,1.6351042148563063113900828256223500520940850158905E-10
2148,1.6574323552042624556320271354665157293303415675564E-10
2152,1.6799809047444493631169223667698014088838606884544E-10
2156,1.7027510569933265940931086688233240800229365946380E-10
2160,1.7257440038420739952148389070359799180129852673214E-10
2164,1.7489609355124665048693081240758109530843450054777E-10
2168,1.7724030405131161516140873972680143689372896271937E-10
2172,1.7960715055960825394919373955743080373676562448006E-10
2176,1.8199675157138530427067447364139919210419475011570E-10
2180,1.8440922539766938617734960137719359641255471662849E-10
